fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
10.036948543200573,1.1857605415623151,0.8115184706218832,4.139624956958795,0.05852840994808726,18.972230758048525,41.230591921768315,1.0200780001487824,3.349311639836063,1.0640344881130612,13.237875869027892,7,0
11.867083030096614,0.02012739131218666,0.476083985968232,6.296183027065931,0.11330365485424364,15.583584803542774,46.296482196417244,1.0156767083617002,3.2523012420789383,1.380054684136578,9.261418951214031,8,1
10.630397136788083,0.9516523917144455,0.5231559899920758,7.785842640282813,0.027482885280064775,4.361379954295805,70.20732217622556,1.0291068664719256,3.6428021553469074,1.2287432888782757,10.723162011727378,3,2
9.993715012965865,1.4175407818820973,0.25052058641717856,8.515577942834893,0.06994243694561149,18.27384905032241,62.48909221533246,1.0343539098792771,3.0487889260359418,0.4546384257007091,8.263201270953688,3,3
8.66020279272795,0.0879508640481812,0.6050430168104723,8.164127137140637,0.010643275832381472,12.377606268586069,12.62540007279433,0.9901005960235794,2.8891354473720696,0.37998883933893624,8.08251417426507,6,4
11.104835243733216,1.7590429660474602,0.30290480866983505,1.6607708859341797,0.07581362875642553,38.383439563061756,20.802918753276256,1.0386813498141974,3.239231950142863,1.4305071589913052,14.97387510144391,8,5
8.813459323889617,1.0401628332713462,0.5772840145429821,8.283895525035856,0.022830269144622096,6.469786692956805,12.632234570700538,1.0072060368486457,3.208762413666361,0.4939249217055084,11.417376606388057,8,6
13.809503008602878,0.06132209665143584,0.16967811557406987,0.5862905888377212,0.1123625823604592,8.040371055756047,9.251471820901077,1.0099563670836096,2.944628923693797,1.054987398247613,10.604173347803439,6,7
14.600290365511322,0.4488272238416804,0.1594690923411588,2.001706815505686,0.12831874687913233,14.647004743027582,78.9444622868338,1.0083841600220842,3.8254747550156596,0.5829187920610928,9.373204661947849,7,8
8.217856707083556,1.907351392854626,0.41702974119199354,6.2292672006598915,0.19741830733533916,15.11331463742995,85.99013732032066,1.0322181691664445,3.60177734572985,0.9186577564580933,13.650345715619824,6,9
